date,indicator_name,indicator_value,region,frequency,caliber
2014-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,17.3,全国,monthly,ytd_yoy
2014-09-01,房地产开发投资_累计值,42018.62,全国,monthly,cum_level
2014-09-01,社会消费品零售总额_累计值,124198.7,全国,monthly,cum_level
2014-09-01,工业增加值_当月同比_mom_yoy,9.2,全国,monthly,mom_yoy
2014-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,17.0,全国,monthly,ytd_yoy
2014-10-01,房地产开发投资_累计值,50381.25,全国,monthly,cum_level
2014-10-01,社会消费品零售总额_累计值,144974.5,全国,monthly,cum_level
2014-10-01,工业增加值_当月同比_mom_yoy,9.0,全国,monthly,mom_yoy
2014-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,16.5,全国,monthly,ytd_yoy
2014-11-01,房地产开发投资_累计值,58974.51,全国,monthly,cum_level
2014-11-01,社会消费品零售总额_累计值,166108.4,全国,monthly,cum_level
2014-11-01,工业增加值_当月同比_mom_yoy,6.9,全国,monthly,mom_yoy
2014-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,16.1,全国,monthly,ytd_yoy
2014-12-01,房地产开发投资_累计值,68751.21,全国,monthly,cum_level
2014-12-01,社会消费品零售总额_累计值,189150.8,全国,monthly,cum_level
2014-12-01,工业增加值_当月同比_mom_yoy,8.0,全国,monthly,mom_yoy
2015-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,15.9,全国,monthly,ytd_yoy
2015-02-01,房地产开发投资_累计值,77220.27,全国,monthly,cum_level
2015-02-01,社会消费品零售总额_累计值,213118.1,全国,monthly,cum_level
2015-02-01,工业增加值_当月同比_mom_yoy,7.7,全国,monthly,mom_yoy
2015-03-01,固定资产投资（不含农户）_累计同比_ytd_yoy,15.8,全国,monthly,ytd_yoy
2015-03-01,房地产开发投资_累计值,86601.36,全国,monthly,cum_level
2015-03-01,社会消费品零售总额_累计值,236592.8,全国,monthly,cum_level
2015-03-01,工业增加值_当月同比_mom_yoy,7.2,全国,monthly,mom_yoy
2015-04-01,固定资产投资（不含农户）_累计同比_ytd_yoy,15.7,全国,monthly,ytd_yoy
2015-04-01,房地产开发投资_累计值,95035.61,全国,monthly,cum_level
2015-04-01,社会消费品零售总额_累计值,262394.1,全国,monthly,cum_level
2015-04-01,工业增加值_当月同比_mom_yoy,7.9,全国,monthly,mom_yoy
2015-06-01,固定资产投资（不含农户）_累计同比_ytd_yoy,13.9,全国,monthly,ytd_yoy
2015-06-01,房地产开发投资_累计值,8786.36,全国,monthly,cum_level
2015-06-01,社会消费品零售总额_累计值,47992.5,全国,monthly,cum_level
2015-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,13.5,全国,monthly,ytd_yoy
2015-07-01,房地产开发投资_累计值,16650.64,全国,monthly,cum_level
2015-07-01,社会消费品零售总额_累计值,70715.3,全国,monthly,cum_level
2015-07-01,工业增加值_当月同比_mom_yoy,5.6,全国,monthly,mom_yoy
2015-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,12.0,全国,monthly,ytd_yoy
2015-08-01,房地产开发投资_累计值,23669.04,全国,monthly,cum_level
2015-08-01,社会消费品零售总额_累计值,93102.0,全国,monthly,cum_level
2015-08-01,工业增加值_当月同比_mom_yoy,5.9,全国,monthly,mom_yoy
2015-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,11.4,全国,monthly,ytd_yoy
2015-09-01,房地产开发投资_累计值,32291.84,全国,monthly,cum_level
